"Mun" "Num_Mun" "R-U" "Grado" "Gen" "Nom" "Muj" "Situ" "Edad" "Etnia" "Disc" "Cosina" "Pintura" "Aseo" "Ropa" "Jardineria" "ID"
"1" "013" "AGUADA" "RURAL" "3" "F" 0 1 "EN SITUACION DE DESPLAZAMIENTO" 9 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 1 0 1 0 1 0
"2" "020" "ALBANIA" "URBANA" "11" "M" 1 0 "EN SITUACION DE DESPLAZAMIENTO" 16 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 2 0 0 1 0 0
"3" "020" "ALBANIA" "URBANA" "6" "F" 0 1 "EN SITUACION DE DESPLAZAMIENTO" 12 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 3 1 0 1 1 1
"4" "020" "ALBANIA" "URBANA" "8" "M" 1 0 "EN SITUACION DE DESPLAZAMIENTO" 17 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 4 0 1 0 1 0
"5" "020" "ALBANIA" "RURAL" "2" "M" 1 0 "EN SITUACION DE DESPLAZAMIENTO" 8 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 5 1 1 0 0 1
"6" "020" "ALBANIA" "RURAL" "1" "M" 1 0 "HIJOS DE ADULTOS DESMOVILIZADO" 7 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 6 0 0 0 0 1
"7" "020" "ALBANIA" "RURAL" "6" "M" 1 0 "EN SITUACION DE DESPLAZAMIENTO" 12 "NINGUN GRUPO ETNICO" "BAJA VISION (DIAGNOSTICADA)" 7 1 0 1 0 0
"8" "020" "ALBANIA" "RURAL" "8" "M" 1 0 "EN SITUACION DE DESPLAZAMIENTO" 13 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 8 0 0 1 1 0
"9" "020" "ALBANIA" "RURAL" "1" "F" 0 1 "EN SITUACION DE DESPLAZAMIENTO" 7 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 9 1 0 1 1 0
"10" "020" "ALBANIA" "RURAL" "3" "F" 0 1 "EN SITUACION DE DESPLAZAMIENTO" 9 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 10 1 0 0 0 0
"11" "020" "ALBANIA" "RURAL" "11" "M" 1 0 "EN SITUACION DE DESPLAZAMIENTO" 17 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 11 1 1 1 1 1
"12" "051" "ARATOCA" "URBANA" "10" "M" 1 0 "EN SITUACION DE DESPLAZAMIENTO" 16 "NINGUN GRUPO ETNICO" "NO TIENE DISCAPACIDAD" 12 1 1 0 0 0
